area,product_name,color,category,units_sold,month
Koramangala,Campus Signature White Accessorie,Black,Bottoms,157,April 2025
Koramangala,HRX Classic Pastel Ethnic Wear,Beige,Bottoms,55,April 2025
Koramangala,Campus Signature Navy Footwear,Beige,Footwear,161,April 2025
Koramangala,Puma Urban Black Top,Beige,Accessories,154,April 2025
Koramangala,W Essential Maroon Bottom,Olive,Ethnic Wear,148,April 2025
Koramangala,HRX Urban Pastel Footwear,Navy,Ethnic Wear,19,April 2025
Koramangala,Campus Exclusive Maroon Top,Black,Bottoms,164,April 2025
Koramangala,HRX Urban Beige Bottom,Black,Accessories,132,April 2025
Koramangala,Puma Signature White Top,Beige,Accessories,61,April 2025
Koramangala,Biba Premium Blue Bottom,Beige,Bottoms,92,April 2025
Koramangala,Van Heusen Essential Mustard Top,Black,Bottoms,160,April 2025
Koramangala,W Essential Maroon Bottom,White,Accessories,103,April 2025
Koramangala,HRX Modern Navy Top,Beige,Ethnic Wear,160,April 2025
Koramangala,Biba Classic Navy Top,Beige,Footwear,92,April 2025
Koramangala,Biba Modern Navy Bottom,Navy,Ethnic Wear,173,April 2025
Indiranagar,Biba Premium Mustard Accessorie,Beige,Bottoms,191,April 2025
Indiranagar,HRX Premium Olive Accessorie,Beige,Bottoms,180,April 2025
Indiranagar,Van Heusen Luxury Olive Bottom,Mustard,Footwear,197,April 2025
Indiranagar,Biba Essential Beige Footwear,Navy,Bottoms,196,April 2025
Indiranagar,Puma Signature White Top,Mustard,Accessories,18,April 2025
Indiranagar,Biba Designer Blue Bottom,Beige,Accessories,66,April 2025
Indiranagar,Van Heusen Basic White Accessorie,White,Ethnic Wear,46,April 2025
Indiranagar,Puma Exclusive White Footwear,White,Bottoms,98,April 2025
Indiranagar,Puma Elite Pastel Footwear,Navy,Tops,191,April 2025
Indiranagar,Biba Classic Olive Footwear,Pastel,Tops,77,April 2025
Indiranagar,W Basic Maroon Bottom,Olive,Tops,99,April 2025
Indiranagar,W Essential White Footwear,White,Tops,22,April 2025
Indiranagar,Van Heusen Basic White Ethnic Wear,Pastel,Ethnic Wear,52,April 2025
Indiranagar,Campus Premium Navy Ethnic Wear,Pastel,Ethnic Wear,99,April 2025
Indiranagar,W Exclusive Mustard Accessorie,Mustard,Tops,132,April 2025
Whitefield,HRX Urban Maroon Accessorie,Olive,Bottoms,125,April 2025
Whitefield,HRX Modern Navy Top,Black,Footwear,15,April 2025
