product_id,name,category,color,style,price,budget_tier,brand,size
P001,Puma Signature White Top,Tops,White,Ethnic,1191,Mid,Puma,XL
P002,Campus Urban Maroon Top,Tops,Maroon,Ethnic,1078,Mid,Campus,M
P003,Van Heusen Modern Pastel Top,Tops,Pastel,Streetwear,1187,Mid,Van Heusen,XS
P004,W Exclusive Maroon Top,Tops,Maroon,Ethnic,2373,High,W,XS
P005,Campus Elite Maroon Top,Tops,Maroon,Casual,4915,High,Campus,XL
P006,W Elite Blue Top,Tops,Blue,Ethnic,1938,High,W,M
P007,Campus Signature Black Top,Tops,Black,Casual,1017,Mid,Campus,L
P008,Campus Luxury Maroon Top,Tops,Maroon,Ethnic,2035,High,Campus,L
P009,Van Heusen Essential Blue Top,Tops,Blue,Casual,237,Low,Van Heusen,M
P010,Campus Basic Beige Top,Tops,Beige,Ethnic,220,Low,Campus,S
P011,Roadster Everyday Navy Top,Tops,Navy,Formal,278,Low,Roadster,S
P012,Van Heusen Elite White Top,Tops,White,Formal,4725,High,Van Heusen,XS
P013,Campus Classic Olive Top,Tops,Olive,Casual,434,Low,Campus,S
P014,Campus Signature Beige Top,Tops,Beige,Formal,1490,Mid,Campus,XL
P015,Puma Urban Black Top,Tops,Black,Casual,682,Mid,Puma,L
P016,Roadster Exclusive Olive Top,Tops,Olive,Streetwear,3077,High,Roadster,L
P017,Campus Modern Beige Top,Tops,Beige,Casual,571,Mid,Campus,M
P018,Biba Designer Navy Top,Tops,Navy,Ethnic,2711,High,Biba,L
P019,Biba Modern Maroon Top,Tops,Maroon,Ethnic,1353,Mid,Biba,XL
P020,Campus Luxury Pastel Top,Tops,Pastel,Ethnic,2375,High,Campus,XS
P021,Roadster Essential Olive Top,Tops,Olive,Ethnic,319,Low,Roadster,XS
P022,Biba Luxury Olive Top,Tops,Olive,Formal,4079,High,Biba,L
P023,Roadster Essential Navy Top,Tops,Navy,Formal,253,Low,Roadster,XL
P024,Van Heusen Elite Blue Top,Tops,Blue,Streetwear,3403,High,Van Heusen,L
P025,Campus Everyday Maroon Top,Tops,Maroon,Formal,442,Low,Campus,S
P026,HRX Modern Beige Top,Tops,Beige,Casual,740,Mid,HRX,S
P027,Biba Modern Beige Top,Tops,Beige,Formal,565,Mid,Biba,XS
P028,Roadster Everyday Mustard Top,Tops,Mustard,Formal,498,Low,Roadster,M
P029,HRX Luxury Olive Top,Tops,Olive,Formal,4509,High,HRX,M
P030,Van Heusen Designer Mustard Top,Tops,Mustard,Ethnic,4239,High,Van Heusen,L
P031,Van Heusen Essential Mustard Top,Tops,Mustard,Ethnic,487,Low,Van Heusen,L
P032,Van Heusen Modern Beige Top,Tops,Beige,Streetwear,835,Mid,Van Heusen,L
P033,W Luxury Blue Top,Tops,Blue,Casual,1579,High,W,S
P034,HRX Basic Navy Top,Tops,Navy,Ethnic,325,Low,HRX,L
P035,W Basic White Top,Tops,White,Ethnic,330,Low,W,XS
P036,Roadster Basic White Top,Tops,White,Ethnic,402,Low,Roadster,M
P037,Roadster Signature White Top,Tops,White,Streetwear,938,Mid,Roadster,L
P038,HRX Modern Navy Top,Tops,Navy,Formal,1150,Mid,HRX,XL
P039,Van Heusen Designer Maroon Top,Tops,Maroon,Streetwear,4494,High,Van Heusen,S
P040,Roadster Designer Mustard Top,Tops,Mustard,Streetwear,3403,High,Roadster,L
